titulo,autores,afiliaciones,palabras_clave,tematica,referencias,id_articulo,id
Extracción de conocimientos lógicos y estadísticos a partir de tablas de datos binarios: un estudio con alumnos de la enseñanza media superior de Santiago de Cuba,Larisa Zamora Matamoros|Pilar Orús Baguena|Isabel Alonso Berenguer|Alexander Gorina Sánchez|Mailyn Álvarez Caneda,"Departamento de Matemática. Facultad de Matemática y Computación. Universidad de Oriente, Cuba|Departamento de Matemáticas. Escuela de Tecnología y Ciencias Experimentales. Universidad Jaume I, España",Lógica|Estadística|Tratamiento de Datos|Encuesta|Tabla de datos binarios,Aplicación del Análisis Estadístico Implicativo (ASI) en la interpretación de información obtenida en una encuesta y presentada en una tabla de datos binarios,Pitarch (2002)|Orús (1992),Texto+final+Vol.+25-54-72,
Empleo de t´ecnicas de regularizaci´on para la soluci´on del problema inverso unidimensional en la Tomograf´ıa ´Optica Difusa,Carmen Tejeda Toledo|Luis Orlando Castellanos P´erez,"Departamento de Licenciatura en Matem´atica, Universidad de Holgu´ın, Holgu´ın, Cuba",pseudoinversa|tomograf´ıa|problema inverso|regularizaci´on,Regularización en la Tomografía ´Optica Difusa,,Vol32No2-2018-pp81-pp88,
Vol32No2-2018-pp97-pp106,D. García Pèrez|J. Estrada Sarlabous|S. Behar Jequín|W. Morales Lezca,"Departamento de Matemática, Instituto de Cibernética, Matemática y Física, La Habana, Cuba|Departamento de Matemática, Universidad de la Habana, La Habana, Cuba",Fairness|G1-continuidad|sección cónica|Spline racional de Bézier|Interpolación de Hermite,Interpolación de Hermite con un esquema spline cónico,5,Vol32No2-2018-pp97-pp106,
Modelo de Programación Lineal Difusa Multiobjetivo para la evacuación ´optima de personas bajo amenaza de desastres naturales,Ernesto Parra Inza|Carlos Segura Vidal|José María Sigarreta Almira|Juan Carlos Hernández Gómez,"Departamento de Licenciatura en Matemática, Universidad de Holguín, Holguín, Cuba|Unidad Académica de Matemáticas, Universidad Autónoma de Guerrero, Guerrero, México",Programación lineal difusa multiobjetivo — gestión operativa de desastres,Gestión operativa de desastres naturales,,Vol32No2-2018-pp107-pp114,
Tabla de Evaluación de Stress para Escalamiento Multidimensional,Lic. Javier Alejandro Quintero Roba|Lic. María Esther Reyes Calzado|Dra. Elina Miret Barroso|Alejandro Javier Quintero Roba,"Departamento de Matemática, Facultad de Matemática y Computación, Universidad de la Habana, Cuba",Escalamiento Multidimensional|STRESS|Tabla de Evaluación de Stress,Exploración multivariada y reducción de dimensiones en datos,,Vol32No2-2018-pp125-pp129,
Soluciones de onda viajera de un modelo continuo de transmisi´on de energ´ıa en medios no homog´eneos,Jorge E. Mac´ıas-D´ıaz,"Departamento de Matem´aticas y F´ısica, Universidad Aut´onoma de Aguascalientes, M´exico",,"Nonlinear hyperbolic equations, Time-dependent coefﬁcients, Traveling-wave solutions",,Vol32No2-2018-pp131-pp134,Vol32No2-2018-pp131-pp134
Implementación de un esquema de aproximación para el problema de transferencia de masas,Miriam G. Baez-Hernández|M. Lorena Avendaño-Garrido|J. Rigoberto Gabriel-Arguelles,"Facultad de Matemáticas, Universidad Veracruzana, México",Esquema de Aproximación — Programación Lineal — Transferencia de Masas,Transferencia de masas,Gaspard Monge (1781)|Leonid V. Kantorovich (1942)|[19]|[14]|[15]|[16]|Benamou y Brenier (1997)|Caffarelli (1999)|Benamou (2000)|Guittet (2001)|Bocs (2004)|Mérigot (2005),Vol32No2-2018-pp149-pp183,
IV Seminario Científico Nacional de Criptografía,Prof. Dr. Luis Ramiro Piñeiro Díaz,"Instituto de Criptografía, Facultad de Matemática y Computación de la Universidad de La Habana|Sección Científica de Criptografía, SCMC",,Criptografía,,Vol33-No1-2019-p00i-0ii,
Protocolo para el intercambio de claves criptogr´aﬁcas basado en el problema Learning with Rounding,David Ricardo Ledo Baster|C. Manuel Mariño Betancourt|C. Miguel Cruz Ramírez,"Departamento de Informática, Universidad de Holguín, Holguín, Cuba|Universidad de Holguín, Holguín, Cuba",protocolos de intercambio de claves|criptografía asimétrica|criptografía postcuántica,Criptografía basada en Learning with Rounding (LWR),14|15|17|2|3|5|6|12|16|20|11|9|8|3|1|10,Vol33-No1-2019-p01-07,
Generación de matrices circulantes invertibles y su aplicación al criptosistema McEliece,Ernesto Dominguez Fiallo|Frank E. Acosta Fonseca|Luis R. Piñeiro Díaz,"Instituto de Criptografía, Universidad de La Habana",matrices circulantes invertibles|criptosistema McEliece|criptografía post cuántica,Criptografía post-cuántica y criptosistemas McEliece,,Vol33-No1-2019-p08-12,
"Depósito y Recuperación de Llaves, un Elemento a Considerar para la Infraestructura de Llave Pública en Cuba",Teresa Bernarda Pagés López,"Instituto de Criptografía, Universidad de la Habana, La Habana, Cuba","Infraestructura de Llave Pública (ILP), depósito de llaves, recobrado de llaves",Key Escrow y Key Recovery en la Infraestructura de Llave Pública en Cuba,,Vol33-No1-2019-p13-17,
Generation of elliptic curves with good cryptographic properties over prime fields,Yessica Caridad Castaño Sainz|Claudia Espinosa Contreras|Huber Martínez Rodríguez,"Instituto de Criptografía, Universidad de la Habana, La Habana, Cuba|Empresa de Tecnologías para la Defensa (XETID)|Departamento de Matemática, Facultad de Ciencias Informáticas, Universidad de Ciego de Ávila, Cuba",parámetros de definición de curvas elípticas|requisitos de seguridad|requisitos técnicos,Criptografía y curvas elípticas,"12|[12]|[39]|[21]|[11, 12, 34, 5, 33, 24]|[7, 12, 5]|[31]|[33, 24]|[8]|[9]",Vol33-No1-2019-p18-27,
Cálculo de bases de Gröbner completas asociadas a códigos lineales,Mijail Borges Quintana|José A. Ornella Rodriguez,"Departamento de Matemática, Universidad de Oriente, Santiago de Cuba, Cuba",Bases de Gröbner|Algoritmo de Möller|Códigos lineales|Equivalencia de códigos,Gröbner bases y códigos lineales,"Buchberger, B. (1965)|[?]|[?]|[?]",Vol33-No1-2019-p28-35,
Criptoanálisis algebraico a cifrados en bloques,Irene Martínez Ferrer|Miguel Angel Borges Trenard|Mijail Borges Quintana,"Dirección de Criptografía, Ministerio del Interior, Santiago de Cuba, Cuba|Departamento de Matemática, Universidad de Oriente, Santiago de Cuba, Cuba",criptoanálisis algebraico|Gröbner basis|block ciphers,Criptoanálisis algebraico en cifrados en bloques,"Claude E. Shannon. Communication Theory of Secrecy Systems. In Bell System Technical Journal 28, pages 656-715, 1949.|[7]|[11]|[6]|[9]|[13]|[12]",Vol33-No1-2019-p36-45,
Algoritmos Heurísticos Híbridos para diseño de S-Caja,Antonio Bolufé Rohler|Dania Tamayo Vera|Rodnel Peña Alvarado,"Instituto de Criptografía, universidad de la Habana, La Habana, Cuba",Algoritmos Heurísticos|Metaheurístico|Optimización|Criptografía|S-cajas|Criptoanálisis,"Criptografía, S-cajas, Algoritmos heurísticos híbridos",,Vol33-No1-2019-p46-55,
S-cajas Aﬁnes con Igual Varianza del Coeﬁciente de Confusi´on,Ismel Mart´ınez-D´ıaz|Alejandro Freyre|Eziel Ramos|C.M. Leg´on,"Instituto de Criptograf´ıa, Facultad de Matem´atica y Computaci´on, Universidad de la Habana, Habana, Cuba",S-cajas|No-linealidad|Varianza del coeﬁciente de confusi´on,Criptografía simétrica y diseño de cifradores de bloques,,Vol33-No1-2019-p62-65,
Ataques a cifrados en bloques mediante búsquedas en grupos cocientes de las claves,Osmani Tito Corrioso|Miguel A. Borges Trenard|Mijail Borges Quintana,"Departamento de Matemática, Facultad de Ciencias de la Educación, Universidad de Guantánamo, Cuba|Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba",Algoritmo Genético|grupo cociente|criptoanálisis|AES(t),"Criptografía, Algoritmo Genético, Cifrados en bloques",2|12|[9]|[14]|[7]|[10]|[1]|[4]|[5]|[8]|[3]|[11],Vol33-No1-2019-p71-74,
Patrones en el orden de los clics y su inﬂuencia en la debilidad de las claves en la Técnica de Autenticación Gráfica Passpoints,Osviel Rodriguez Valdés|Carlos M. Legón|Raisa Socorro Llanes,"Departamento de Programación y Sistemas Digitales, Universidad de las Ciencias Informáticas, La Habana, Cuba|Instituto de Criptogtafía, Universidad de la Habana, La Habana, Cuba|Universidad Tecnológica de la Habana Jos’ A. Echeverr’ıa, La Habana, Cuba",Graphical password|Authentication|Linear Click patterns|Human-seeded attack|Weak passwords|Password space,Seguridad de contraseñas gráficas y ataques de diccionario,"Itti and Koch, 2001|Valdés et al., 2018|Vorster and van Heerden, 2015|Thorpe and van Oorschot, 2007|Bhong and Shahade, 2013|Wiedenbeck et al., 2005|Blonder, 1996|Comaniciu and Meer, 2002|Zhu et al., 2013|Salehi-Abari et al., 2008|Itti et al., 1998",Vol33-No1-2019-p75-81,
Evaluacion de los criptosistemas McEliece y Niederreiter como candidatos post-cuanticos,Ernesto Dominguez Fiallo|Frank E. Acosta Fonseca|Luis R. Piñeiro Díaz,"Instituto de Criptografía, Universidad de La Habana, La Habana, Cuba",McEliece|Niederreiter|criptografia post-cuantica|criptoanálisis,Criptosistemas basados en códigos correctores de errores McEliece y Niederreiter,9|24|2|16|13|12|2|26,Vol33-No1-2019-p82-86,
Construction of MDS matrices combining the Feistel and Lai-Massey schemes,Ramses Rodriguez Aulet|Reynier A. de la Cruz Jimenez,"Instituto de Criptografía, Universidad de La Habana, La Habana, Cuba",Diffusion|Involutory matrix|Almost involutory matrix|MDS matrix,"Cryptography, MDS matrices, Feistel and Lai-Massey schemes",,Vol33-No1-2019-p87-92,
"Modelo de triple porosidad, triple permeabilidad y derivadas fraccionarias para la presión transiente en yacimientos fracturados con geometría fractal",Mario A. Vera-Villamar|Jose A. Mesejo-Chiong,"Escuela Superior Politécnica del Litoral, Guayaquil, Ecuador|Facultad de Matemática y Computación, Universidad de La Habana, Cuba",Modelo de flujo|Medios fractales|Derivada fraccionaria|Triple porosidad,Flujo de petroleo en yacimientos fracturados con geometria fractal,11|[16]|[17]|[15]|[14],Vol33-No2-2019-p093-103,
Tablas de Contingencia y Modelos Log-Lineales. Una Aplicación en un Problema de Salud,Brenda Lambert Lamazares|Vivian Sistachs Vega,"Departamento de Matemática, Instituto de Cibernética Matemática y Física|Departamento de Matemática Aplicada, Universidad de La Habana",Variables Categóricas|Tablas de Contingencia|Modelos Log-Lineales|Síndrome de Guillain-Barré,Análisis estadístico de datos categóricos en un problema de salud,,Vol33-No2-2019-p105-117,
Nuevo modelo probabilístico en autenticación gráfica,Carlos Miguel Legón|Pedro Navarro|Raisa Socorro|Osviel Rodríguez|Ernesto Borrego,"Instituto de Criptografía, Facultad de Matemática y Computación, Universidad de la Habana|Facultad de Informática. Universidad Tecnológica de La Habana|Facultad de Ciencias y tecnologías. Universidad de las ciencias Informáticas",Autenticación gráfica—modelo probabilístico—contraseñas,Modelos probabilísticos en autenticación gráfica,,Vol33-No2-2019-p119-128,
Las oportunidades de aprender Matemáticas desde una perspectiva abarcadora,Dagoberto Acosta Iglesias|Amaury Pérez Martínez|Manuel Guardado Hernández,"Departamento Ciencias de la Tierra, Universidad Estatal Amazónica, Puyo, Ecuador|Departamento de Ingeniería Química, Universidad de Camagüey, Camagüey, Cuba|Departamento de Matemática, Universidad de Camagüey, Camagüey, Cuba",Aprendizaje|Razonamiento|Pensamiento Lógico,Enseñanza-aprendizaje de Matemáticas,,Vol33-No2-2019-p129-135,
Estimation of the percentage of organic carbon in soils using Satellite Images and Mixed Models,Ana A. Oroza Hernández|Gladys Linares Fleites|Hortensia J. Reyes Cervantes|Bulmaro Juárez Hernández,"Facultad de Ciencias Físico Matemáticas, Benemérita Universidad Autónoma de Puebla|Departamento de Investigación en Ciencias Agrícolas, Instituto de Ciencias, Benemérita Universidad Autónoma de Puebla",Secuestro de Carbono|Modelos Lineales Generalizados Mixtos|Regresión gamma,"Carbon Sequestration, Mixed Models, Gamma regression","Ciencias Matemáticas, Vol. 33, No. 2, 2019, Pag. 137-143|[2]|[6]|[4]|[11]|[12]|[13]|[15]",Vol33-No2-2019-p137-143,
Las Redes de Interconexi´on y La Teor´ıa de Gr´aﬁcas,María de Luz Gasca Soto,"Departamento de Matemáticas, Universidad Nacional Autónoma de México",Computaci´on en Paralelo|Teor´ıa de Gr´aﬁcas|Redes de Interconexi´on|Hipercubo,"Interconnection Networks, Graph Theory, Hypercube","Gasca Soto, M. de Luz (2019). Las Redes de Interconexi´on y La Teor´ıa de Gr´aﬁcas. Ciencias Matemáticas, 33(2), 145-151.",Vol33-No2-2019-p145-151,
Model for the process of development of the logical-mathematics advanced thought,Serdaniel Nieves Pupo|Rita A. Roldán Inguanzo,"Universidad de Pinar del Río ‘Hermanos Saíz Montes de Oca’, Cuba|Universidad de La Habana, Cuba",pensamiento lógico-matemático avanzado|representaciones semióticas|descomposición genética de conceptos|método genético-constructivo,Development of advanced logical-mathematical thinking,"Artigue, 2003|Asunción, 2012|Delgado, 1999",Vol33-No2-2019-p153-160,
Algoritmo esteganogr´aﬁco pseudo-asim´etrico basado en una tabla de cuantiﬁcaci´on no est´andar,A. Figueroa-Romero|A. Soria-Lorente,"Departamento de Matem´atica, Universidad de la Habana, Cuba|Facultad de Ciencias T´ecnicas, Universidad de Granma, Cuba",Esteganograf´ıa — Pseudo-asim´etrico — Matriz cuantizaci´on,Pseudo-asymmetric stganographic algorithm,"Ciencias Matemáticas, Vol. 33, No. 2, Pag. 161-169, 2019|[26, 29, 28]|[12, 27]|[10, 13, 14, 17]|[15, 29, 28]|[2, 21, 25, 26, 32]|[11]|[26, 32]|[6, 7, 19, 22]|[6, 30]|[23, 24, 33]|[23, 24]|[33]|[1]|FIPS PUB 197",Vol33-No2-2019-p161-169,
Decoradores tipo Python para funciones en C# utilizando atributos y la API de Roslyn,Antonio Alejo Combarro|Jose Manuel Espinoza|Ludwig Leonard Méndez|Miguel Katrib Mora,"Programming Department, Havana University, Havana, Cuba",Metaprogramación|C#|Roslyn|Python|Decoradores,Implementación de decoradores en C# utilizando la API de Roslyn,,Vol33-No2-2019-p179-188,
El proceso de enseñanza-aprendizaje de la Matemática desde un enfoque semántico,Eladio Jorge Oliveros Sa´uco|Ricardo S´anchez Casanova|Idania Urrutia Roman´ı,"Departamento de Matemática, Universidad Santa Mar´ıa campus Guayaquil, Ecuador|Facultad Matemática y Computaci´on, Universidad de La Habana, Cuba",Sem´antica matem´atica — poder sem´antico — heur´ıstica,Enseñanza-aprendizaje de la Matemática desde un enfoque semántico,,Vol33-No2-2019-p189-196,
